startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2018-10-01T00:00:00Z","2018-10-01T00:02:00Z",0.70,0.00,1.21,0.10,29.00,0.18,0.06,,79.48,36.17,25.00,7.09,1.20,
"2018-10-01T00:02:00Z","2018-10-01T00:04:00Z",0.66,0.42,0.96,0.03,30.00,0.15,0.03,,126.89,21.07,30.00,6.88,0.84,
"2018-10-01T00:04:00Z","2018-10-01T00:06:00Z",0.19,0.00,0.54,0.04,30.00,0.16,0.04,,85.47,47.90,24.00,7.25,1.41,
"2018-10-01T00:06:00Z","2018-10-01T00:08:00Z",0.22,0.00,0.56,0.04,30.00,0.16,0.04,,104.36,57.49,26.00,7.31,1.49,
"2018-10-01T00:08:00Z","2018-10-01T00:10:00Z",0.22,0.00,0.81,0.09,30.00,0.18,0.05,,134.03,55.02,30.00,7.20,1.35,
"2018-10-01T00:10:00Z","2018-10-01T00:12:00Z",0.31,0.00,0.79,0.09,30.00,0.18,0.06,,160.51,80.46,30.00,7.43,1.64,
"2018-10-01T00:12:00Z","2018-10-01T00:14:00Z",0.34,0.00,0.83,0.08,30.00,0.18,0.05,,161.37,69.92,30.00,7.34,1.53,
"2018-10-01T00:14:00Z","2018-10-01T00:16:00Z",0.01,0.00,0.17,0.00,30.00,0.14,0.01,,105.88,25.56,30.00,6.92,0.92,
"2018-10-01T00:16:00Z","2018-10-01T00:18:00Z",0.18,0.00,0.50,0.04,30.00,0.16,0.03,,120.26,28.37,30.00,6.95,0.97,
"2018-10-01T00:18:00Z","2018-10-01T00:20:00Z",0.18,0.00,0.54,0.04,30.00,0.16,0.04,,113.27,21.91,30.00,6.89,0.85,
"2018-10-01T00:20:00Z","2018-10-01T00:22:00Z",0.57,0.37,0.71,0.01,30.00,0.14,0.02,,159.93,30.40,30.00,6.97,1.01,
"2018-10-01T00:22:00Z","2018-10-01T00:24:00Z",0.09,0.00,0.37,0.02,30.00,0.15,0.03,,117.77,30.43,30.00,6.97,1.01,
"2018-10-01T00:24:00Z","2018-10-01T00:26:00Z",0.45,0.08,0.62,0.02,30.00,0.15,0.03,,156.43,29.34,30.00,6.96,0.99,
"2018-10-01T00:26:00Z","2018-10-01T00:28:00Z",0.08,0.00,0.37,0.02,30.00,0.15,0.03,,118.32,34.53,30.00,7.01,1.07,
"2018-10-01T00:28:00Z","2018-10-01T00:30:00Z",0.33,0.00,0.62,0.07,30.00,0.17,0.05,,199.86,90.30,30.00,7.52,1.73,
"2018-10-01T00:30:00Z","2018-10-01T00:32:00Z",0.43,0.08,0.71,0.02,30.00,0.15,0.03,,241.48,17.85,30.00,6.85,0.77,
"2018-10-01T00:32:00Z","2018-10-01T00:34:00Z",0.40,0.00,0.90,0.10,30.00,0.18,0.06,,203.50,70.09,30.00,7.34,1.53,
"2018-10-01T00:34:00Z","2018-10-01T00:36:00Z",0.08,0.00,0.50,0.02,28.00,0.15,0.03,,132.86,77.14,30.00,7.40,1.60,
