HOR.VER,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
130.100,0.15,0.00,-2.30,0.00,0.00,0.00,45.995229,-89.706476,495.52
140.100,0.15,0.00,-1.84,0.00,0.00,0.00,46.000596,-89.704067,496.34
