table,fieldName,description,dataType,units,downloadPkg
WSDBuoy_30min,buoyCompRangePassQM,"Buoy compass quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompRangeNAQM,"Buoy compass quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompPersistenceFailQM,"Buoy compass quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompPersistencePassQM,"Buoy compass quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompPersistenceNAQM,"Buoy compass quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompNullFailQM,"Buoy compass quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompNullPassQM,"Buoy compass quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompNullNAQM,"Buoy compass quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompGapFailQM,"Buoy compass quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompGapPassQM,"Buoy compass quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyCompGapNAQM,"Buoy compass quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
