datetime,Year,DOY,TIME,NEE,CH4,H,LE,G,Rn,Rg,Rg_out,Rgl,Rgl_out,PPFD,WS,USt,Ta,Rh,Ts,Tw,SWC,hours,minutes
2013-01-01 00:30:00,2013.0,1.0,30.0,,,-13.12300347,77.80099738,-11.14435667,-21.398,0.0,,,,0.0,2.139468,0.1402359,24.34353,78.71233657,24.28734,23.46658951,0.588,0.0,30.0
2013-01-01 01:00:00,2013.0,1.0,100.0,,,-4.823047355,,-10.58993333,-21.398,0.0,,,,0.0,2.212275,0.1412338,24.506,78.26582836,24.28091,23.45883364,0.588,1.0,0.0
2013-01-01 01:30:00,2013.0,1.0,130.0,2.914678887,0.051902344,-6.160441899,27.01351485,-9.85529,-21.398,0.0,,,,0.0,1.687529,0.1260167,23.81848,83.84271441,24.31705,23.50242571,0.588,1.0,30.0
2013-01-01 02:00:00,2013.0,1.0,200.0,3.697760033,0.04279492,-5.819937658,8.155722942,-9.29298,-21.398,0.0,,,,0.0,1.242015,0.1213759,23.99598,82.03590091,24.27318,23.44950972,0.588,2.0,0.0
2013-01-01 02:30:00,2013.0,1.0,230.0,0.316095817,,-6.016682279,34.63115619,-8.931016667,-21.398,0.0,,,,0.0,1.8983,0.143969,23.97906,81.78824326,24.22112,23.38671494,0.587,2.0,30.0
2013-01-01 03:00:00,2013.0,1.0,300.0,,,1.285458256,,-8.782673333,-21.398,0.0,,,,0.0,1.992145,0.143611,23.76997,83.36507641,24.25069,23.42238228,0.588,3.0,0.0
2013-01-01 03:30:00,2013.0,1.0,330.0,1.534879017,0.028146344,-2.893075136,18.2679664,-8.683873333,-21.398,0.0,,,,0.0,1.402483,0.1613512,23.38821,86.02062099,24.26594,23.44077683,0.588,3.0,30.0
2013-01-01 04:00:00,2013.0,1.0,400.0,3.874670352,0.02723543,-2.854556979,3.738916093,-8.509716667,-21.398,0.0,,,,0.0,1.032356,0.1266482,23.55093,84.76646473,24.18939,23.34844222,0.588,4.0,0.0
2013-01-01 04:30:00,2013.0,1.0,430.0,3.446063187,0.025962105,-2.717630496,-1.258494725,-8.28844,-21.398,0.0,,,,0.0,1.28335,0.09551176,23.63227,84.2494818,24.17186,23.32729753,0.588,4.0,30.0
2013-01-01 05:00:00,2013.0,1.0,500.0,4.190054472,0.00464187,-3.611666325,-16.1102303,-8.123266667,-21.398,0.0,,,,0.0,1.424391,0.1167497,23.59719,85.23437764,24.16332,23.31699658,0.588,5.0,0.0
2013-01-01 05:30:00,2013.0,1.0,530.0,3.076085358,0.022646972,-6.285259497,6.828395818,-7.92237,-21.398,0.0,,,,0.0,1.38976,0.1631141,23.66843,85.25435128,24.17121,23.3265135,0.588,5.0,30.0
2013-01-01 06:00:00,2013.0,1.0,600.0,2.428348101,0.004608777,-4.951927345,8.668744796,-7.709256667,-21.398,0.0,,,,0.0,2.095786,0.1176898,23.82122,84.2964815,24.1571,23.30949402,0.587,6.0,0.0
2013-01-01 06:30:00,2013.0,1.0,630.0,2.034122162,0.002131682,-3.24428479,17.33734593,-7.675116667,-21.398,0.0,,,,0.0,1.916563,0.09429925,23.8579,84.29132929,24.11659,23.26063086,0.587,6.0,30.0
2013-01-01 07:00:00,2013.0,1.0,700.0,0.538941762,-0.000697211,-2.08581415,5.149500237,-7.687653333,-19.2500138,2.6259,,,,20.1648,2.570669,0.0955929,23.77108,84.6975631,24.12992,23.2767095,0.587,7.0,0.0
2013-01-01 07:30:00,2013.0,1.0,730.0,,,4.929179382,17.17541927,-7.673183333,1.59094112,28.10384,,,,78.6664,1.97631,0.1106032,23.50196,87.31561187,24.16097,23.31416201,0.587,7.0,30.0
2013-01-01 08:00:00,2013.0,1.0,800.0,-0.636302547,0.005677799,6.01531722,-2.50532084,-6.359858667,72.0418946,114.2297,,,,226.5748888,2.433561,0.1435907,23.78914,87.10517095,24.47804,23.69661185,0.588,8.0,0.0
2013-01-01 08:30:00,2013.0,1.0,830.0,-1.655798347,,12.10218335,-15.55655496,-3.281793667,61.3332112,101.1384,,,,200.8203743,2.070591,0.1194588,24.19156,85.78754195,24.7114,23.97809068,0.588,8.0,30.0
2013-01-01 09:00:00,2013.0,1.0,900.0,1.113348049,,13.90218099,65.40229075,-0.139613667,101.5233508,150.2706,,,,335.0276,2.153655,0.1165329,24.58599,84.20222443,25.00896,24.33700755,0.589,9.0,0.0
2013-01-01 09:30:00,2013.0,1.0,930.0,,,-2.448635301,,3.139107833,114.8457896,166.5572,,,,329.5187796,3.231741,0.1542214,24.44736,84.90025663,25.50175,24.93141085,0.595,9.0,30.0
2013-01-01 10:00:00,2013.0,1.0,1000.0,,,31.40042094,120.8335669,4.547036,195.2295044,264.8258,,,,522.8425963,3.082411,0.200349,24.12051,86.58905701,25.80276,25.29448911,0.593,10.0,0.0
2013-01-01 10:30:00,2013.0,1.0,1030.0,,0.015786399,49.85162273,166.940795,8.591652,261.2035766,345.4787,,,,681.5110465,2.834553,0.1489605,25.02242,83.42869334,26.02712,25.56511214,0.592,10.0,30.0
2013-01-01 11:00:00,2013.0,1.0,1100.0,,0.034396443,58.15755511,354.286896,14.44245567,458.2165862,586.3259,,,,1155.329743,3.043141,0.1281027,26.00521,79.89084869,26.83578,26.54051784,0.591,11.0,0.0
