Year,DOY,TIME,NEE,CH4,H,LE,G,Rn,Rg,Rg_out,Rgl,Rgl_out,PPFD,WS,USt,Ta,Rh,Ts,Tw,SWC
2014,1,600,6.454609383,0.062372174,-22.54157209,7.094666146,-29.5909,-58.34136,0,0.8444973,371.6266,426.3612,0,1.090224,0.1393608,22.51337,83.61390753,22.70943,21.1,0.776
2014,1,630,2.546005255,0.043939388,-16.53175886,8.20331562,-29.51119,-57.18256,0,1.305644,372.4117,425.9629,0,1.102365,0.1799053,22.49005,83.44081806,22.63383,21.7,0.776
2014,1,700,-99999,-99999,-20.24856084,19.39266687,-28.954795,-56.17626,0,1.471515,370.8654,426.3615,0,1.702568,0.1769106,22.51103,83.11424005,22.52956,21.7,0.776
2014,1,730,-6.773287396,-99999,-3.980948666,59.58393452,-25.741145,-45.93555,23.7628,11.5075,370.7941,428.985,42.40509,1.849088,0.1804791,23.04453,81.28978157,22.46945,22.8,0.775
2014,1,800,-99999,0.043617361,1.132959942,76.70717197,-10.7266255,-46.96569,46.94361,30.64984,373.4659,436.7254,76.32534,2.017439,0.2368157,24.27399,76.33037618,22.60136,24.4,0.775
2014,1,830,-99999,0.016702762,-99999,99.77618358,17.282853,-8.773777,102.9285,43.14483,376.3921,444.9495,98.17778,1.812314,0.2541629,24.94562,74.43726801,23.16973,30.6,0.774
2014,1,900,-10.80513372,0.068798179,-99999,154.9639295,46.40358,223.3746,349.4255,52.36483,380.114,453.8,463.6055683,1.854177,0.2407838,25.55413,73.25028996,24.01664,36.7,0.773
2014,1,930,-99999,-99999,-99999,-99999,74.904475,345.4843,487.4779,65.5164,387.1634,463.6406,630.9428,2.365095,0.2450382,26.23547,71.91720094,25.09694,34.4,0.773
2014,1,1000,-11.96263958,0.04354277,35.69984839,259.9786483,91.1824,465.4294,607.2426,70.85131,402.7058,473.6677,786.5469,2.481311,0.224383,26.88263,70.01549116,26.23685,38.3,0.773
2014,1,1030,-12.02168354,0.052822018,27.83975609,380.3712844,93.396465,557.9171,717.0467,78.76777,399.2419,479.6037,927.7089,3.184573,0.2198573,27.40189,66.52850965,27.08828,39.4,0.774
2014,1,1100,-11.43752468,0.063968963,39.1494082,383.3158801,95.05723,581.8096,744.1164,77.98058,396.4661,480.7923,974.6989,4.110581,0.2385489,27.79589,62.75147655,27.69876,38.3,0.774
2014,1,1130,-11.36947161,0.061864042,27.19866951,402.8041905,86.76516,633.5652,802.183,79.68782,397.2312,486.1612,1061.979,3.805473,0.1700397,28.20087,61.14593469,28.23698,36.1,0.771
2014,1,1200,-13.26681838,0.099406717,39.69561794,504.6802331,67.7106,662.8463,831.481,79.31094,399.5025,488.8262,1108.344,4.032681,0.2166794,28.58342,57.72708539,28.78352,37.2,0.77
2014,1,1230,-13.95527963,0.102348536,25.92989564,529.2519481,88.268515,682.1135,851.8524,78.80027,401.2841,492.2226,1143.184,3.963942,0.1954198,28.95314,57.33179057,29.2116,36.7,0.77
2014,1,1300,-12.96324454,0.11655265,26.8735451,517.8667559,79.881335,688.508,857.1059,78.80589,402.0626,491.8546,1154.29,4.148562,0.2500326,29.05801,56.72253585,29.53148,37.2,0.771
2014,1,1330,-13.74678079,0.139829431,19.58865539,555.2182917,71.402715,676.7087,842.5302,76.97999,403.1964,492.0379,1139.105,4.12363,0.2559218,29.06799,56.38595086,29.73626,37.8,0.769
2014,1,1400,-15.20325256,0.159944563,9.970488021,-99999,60.91643,639.6885,800.8713,73.31335,402.1591,490.0284,1083.906,4.164693,0.2049356,29.20431,55.61482517,29.84073,37.2,0.767
2014,1,1430,-11.76070219,0.143772627,9.387660425,471.7212024,48.680295,598.305,753.9738,69.29453,400.7913,487.1656,1017.498,4.11052,0.2509291,29.18048,54.04681947,29.7638,37.2,0.766
2014,1,1500,-11.50826798,0.143177276,-8.617001072,454.1676405,38.62166,532.8411,679.1702,62.80471,400.2408,483.7651,915.6234,4.197723,0.255853,29.05277,55.66885238,29.74125,35.6,0.765
2014,1,1530,-11.53906164,0.151164903,-99999,-99999,12.674913,458.8351,597.3293,56.49168,395.7946,477.7971,803.7194,4.099411,0.2536469,28.89561,52.61695164,29.49963,35,0.765
2014,1,1600,-9.751215477,0.129479776,-99999,-99999,-5.6030895,376.3175,503.5232,47.97714,393.5857,472.8143,676.4794,3.921481,0.2649038,28.69642,53.05737494,29.04611,32.2,0.763
2014,1,1630,-7.511830295,0.140806207,-99999,275.4335577,-22.76708,291.6766,405.0084,38.97181,391.0905,465.4505,536.7975,4.217416,0.2042819,28.31064,52.70365123,28.48801,30.6,0.762
2014,1,1700,-99999,0.118107604,-99999,184.3263041,-31.99611,188.6824,284.1431,26.79404,392.1723,460.839,373.0094,3.523331,0.2089496,27.93315,57.18492565,27.82798,27.2,0.761
2014,1,1730,-99999,0.106075568,-26.73378895,93.60555296,-35.452465,79.04661,158.3148,13.68832,388.7846,454.3644,203.8593,3.152488,0.218978171,27.33428,60.51487974,27.22045,25.6,0.761
2014,1,1800,-99999,0.108434558,-27.7344743,61.1667645,-37.415265,-44.36392,20.15632,1.763098,386.7374,449.4945,37.82384,2.560089,0.1413843,26.58881,64.11112926,26.83238,24.4,0.761
2014,1,1830,3.260083768,0.079340882,-27.90364114,49.37972721,-39.766165,-63.0196,0,0.882574,383.1719,445.0671,0,1.843704,0.1289438,25.90983,67.11443321,26.37914,23.9,0.76
2014,1,1900,3.293558137,0.070018746,-25.23701513,40.15349826,-39.818385,-64.38306,0,1.064174,382.2331,442.5877,0,1.86764,0.1399904,25.58156,67.40083164,25.88636,23.3,0.76
2014,1,1930,2.245220395,0.089639154,-19.1465813,27.3886153,-39.262505,-62.52743,0,1.106953,382.1969,440.7109,0,1.679581,0.1742828,25.36282,68.43758426,25.46476,23.3,0.759
2014,1,2000,2.790473842,0.080485468,-11.65466167,10.58597981,-37.727095,-62.52201,0,0.885675,380.5113,439.0103,0,1.522364,0.1857936,24.96842,71.43633409,25.15036,22.8,0.759
2014,1,2030,1.415647603,0.058718433,-13.36713479,19.53810159,-36.02769,-60.69887,0,1.245533,380.4518,437.1466,0,1.141147,0.141984,24.51481,74.21954177,24.91094,22.2,0.759
2014,1,2100,2.638280068,0.049101262,-12.03002496,10.25012057,-34.59073,-58.21116,0,1.344959,382.1269,436.5679,0,1.253268,0.17973,24.45736,74.81410598,24.67272,22.8,0.759
2014,1,2130,4.711426627,0.070919498,-25.98489936,26.13050597,-33.46677,-58.82141,0,1.025375,380.2693,435.2814,0,1.18006,0.1316613,24.25885,76.09612548,24.46334,22.2,0.758
2014,1,2200,3.451376988,0.054590082,-31.82402082,33.9407283,-32.891835,-60.68541,0,1.787674,379.4078,436.2746,0,1.824877,0.2356691,24.59711,74.33360872,24.25994,22.8,0.758
2014,1,2230,3.944573109,0.059960037,-27.52498585,26.44627727,-31.967705,-61.43713,0,1.112137,379.7826,437.642,0,2.518914,0.2553811,25.05279,72.153767,24.04435,23.3,0.757
2014,1,2300,3.855095044,0.052266912,-29.02028499,23.17430134,-30.801355,-60.20849,0,1.039478,380.7373,437.2353,0,1.939503,0.2045975,25.05686,72.34880425,23.96403,22.8,0.757
2014,1,2330,3.800213272,0.054325129,-21.50950094,14.67672651,-29.62859,-60.31319,0,0.9448382,380.2446,436.8071,0,1.887234,0.1481379,24.9764,73.02958975,23.89734,22.8,0.757
2014,1,2400,4.084205421,0.070108845,-30.15520694,15.12719531,-29.04948,-57.98638,0,1.035568,380.8651,434.9873,0,1.144542,0.2010306,24.62879,74.8133439,23.82725,22.2,0.756
2014,2,30,1.717547111,0.036324198,-16.79298849,10.46533268,-28.260685,-57.14777,0,1.092039,381.652,435.3827,0,2.129137,0.2761615,24.52,75.86709846,23.71401,22.8,0.755
2014,2,100,3.493301106,0.030486942,-18.79165217,16.24080908,-27.315025,-46.91445,0,0.197306,389.834,433.9122,0,1.797057,0.1958305,23.79023,79.60216084,23.64775,22.8,0.755
2014,2,130,3.753025103,0.047329795,-23.21053009,18.0288125,-24.43032,-40.05761,0,0.6076465,396.7469,434.4559,0,1.957567,0.1935705,23.71068,80.08430788,23.5811,22.8,0.754
2014,2,200,5.089570465,0.03301514,-19.79439461,17.54818532,-24.64952,-47.51894,0,0.8292754,389.6206,434.2438,0,1.90887,0.1933019,23.93293,78.81430446,23.51254,22.8,0.754
2014,2,230,-99999,-99999,-2.2006378,-1.702363118,-24.2303,-47.86583,0,0.3222438,388.2816,433.3181,0,1.801855,0.19996,23.67369,80.21443896,23.45097,22.2,0.753
2014,2,300,6.477127141,0.038159402,-24.36208522,11.85047286,-25.289215,-55.758,0,0.740752,379.686,432.1173,0,1.755016,0.1922915,23.55342,80.53871909,23.38773,22.2,0.753
2014,2,330,-99999,0.022027257,-7.317987132,2.989184932,-26.27448,-54.7077,0,0.7937129,379.7438,431.2019,0,1.567501,0.1805385,23.36205,81.29213865,23.28455,22.2,0.753
2014,2,400,-99999,0.049387119,-32.99721797,16.14145301,-25.95841,-54.0753,0,1.28205,381.0956,431.7668,0,1.229725,0.223334,23.79846,78.91214459,23.16043,22.2,0.753
2014,2,430,6.688652097,0.029206503,-24.35679851,12.2408313,-25.57046,-54.15549,0,0.6234783,380.0655,431.0229,0,1.789344,0.2670895,23.445,80.69126851,23.09406,22.2,0.753
2014,2,500,6.663628142,4.30E-02,-26.27365955,11.5519243,-24.786135,-51.364,0,0.5740991,382.4398,430.83,0,2.021274,0.205898,23.23137,81.82957189,23.01622,22.2,0.752
2014,2,530,-99999,0.04138033,-28.33586323,10.53448566,-25.26158,-55.85801,0,0.8492853,377.4732,429.9727,0,1.769717,0.1872407,23.21309,81.63331465,22.96753,21.7,0.751
2014,2,600,6.664027183,0.068936015,-24.46993672,7.113714178,-25.530665,-54.76968,0,0.5717897,377.8867,429.3537,0,1.565203,0.1880572,23.14418,81.62588666,22.87624,21.7,0.751
2014,2,630,5.332637997,0.029140878,-24.87313649,13.92219007,-25.5771,-53.52221,0,1.067491,378.7025,428.8948,0,1.422282,0.2354013,22.98741,82.3276407,22.81417,21.7,0.75
2014,2,700,-99999,0.03035443,-12.31700556,29.36101827,-24.96537,-51.28183,0,0.9776762,378.6308,429.3261,0,1.997765,0.2259142,23.14021,81.37278718,22.71213,22.2,0.75
2014,2,730,-3.67471657,0.037926576,-7.66704448,44.05889398,-22.19928,-41.25711,22.26053,9.944319,377.9797,431.553,41.80248,2.08259,0.2063425,23.51406,80.25508408,22.67875,23.3,0.75
2014,2,800,-99999,0.046506126,-99999,91.85460018,-8.019936,-45.73433,44.49254,30.67301,379.8649,439.4187,74.81203,1.809813,0.2133127,24.54365,77.00425437,22.82854,25.6,0.749
2014,2,830,-99999,0.066037202,-99999,-99999,18.478574,-11.47434,100.311,46.97113,384.2117,449.0258,97.32106,2.070207,0.2421784,25.49002,74.277205,23.39536,31.7,0.747
2014,2,900,-9.170141441,0.050078564,-99999,137.0843577,47.524885,232.938,356.1517,54.66153,389.8563,458.4085,472.5285452,2.015982,0.2691626,26.21135,72.58964431,24.24854,35.6,0.747
2014,2,930,-13.37174875,0.085695657,14.09398536,288.7691537,72.985115,350.5611,482.683,63.76944,398.6545,467.007,625.075,2.566487,0.2692376,26.88729,70.58891021,25.38224,35.6,0.746
2014,2,1000,-13.60998858,0.102935722,14.53138622,348.0686116,83.14593,457.0483,607.508,75.04198,397.9637,473.3815,787.2164,3.472297,0.227740938,27.6102,65.44261363,26.43832,37.8,0.747
2014,2,1030,-99999,-99999,-99999,-99999,76.234385,519.1643,669.1622,77.03065,403.8564,476.8237,870.6731,4.048958,0.1964088,27.78602,63.96022742,26.95274,38.3,0.747
2014,2,1100,-14.30718073,0.171385129,23.28618192,475.5969552,93.786805,589.5651,754.7824,83.17422,401.5494,483.5925,991.0961,3.660477,0.2635119,28.17344,62.61554158,27.4859,39.4,0.747
2014,2,1130,-11.65237835,0.182204824,30.50609325,448.8880821,88.087655,634.6172,804.1405,85.25547,401.7979,486.0656,1065.516,4.318101,0.2180633,28.45501,59.72912347,28.203,37.2,0.743
2014,2,1200,-13.37710308,0.219061826,38.9532152,498.1651483,61.97198,657.7738,827.494,85.58639,402.8683,487.002,1101.997,4.774361,0.3135673,28.41333,60.67551266,28.63105,36.1,0.741
2014,2,1230,-12.63584925,0.239587443,34.18557983,493.6082284,77.5383,691.3563,865.6693,87.9249,403.6116,489.9997,1159.439,4.430722,0.25695,28.64713,60.15558806,28.94545,37.8,0.738
2014,2,1300,-11.91320632,0.29830044,35.0818422,538.6014192,84.8911,706.1569,882.9144,89.31857,406.2139,493.6528,1186.98,4.206031,0.3011078,28.98409,59.32819317,29.35862,37.8,0.737
2014,2,1330,-11.46934351,0.309883955,21.96065855,526.675878,72.945905,665.7481,838.4902,84.44527,404.1264,492.4231,1132.663,4.364167,0.3672324,29.12134,57.20906646,29.68855,37.2,0.736
2014,2,1400,-11.49693445,0.348201746,3.080084378,540.1398356,67.664195,649.041,820.4265,82.79946,402.0526,490.6386,1109.126,4.261354,0.3014641,29.02784,56.64048491,29.8052,36.7,0.734
2014,2,1430,-10.39945263,0.34332921,-4.971192489,477.3753554,54.277925,588.4568,754.158,76.26447,396.3187,485.7554,1017.869,4.395302,0.2821895,28.9666,53.18915154,29.71719,36.7,0.733
2014,2,1500,-9.885752835,0.323492297,-5.912262758,412.8322924,39.111355,529.7391,685.4006,69.99001,396.8386,482.5101,923.723,4.081519,0.2687004,28.9417,53.45095584,29.50416,36.7,0.732
2014,2,1530,-8.320898984,0.291778909,-99999,367.7791272,22.320415,457.0379,600.419,61.76335,398.3704,479.9881,810.8374,3.796561,0.2786628,28.86672,55.67395885,29.57528,34.4,0.731
2014,2,1600,-7.393282892,0.264098549,-99999,315.8605845,2.066804,378.0699,509.5219,52.98233,394.8507,473.3204,685.8903,3.987529,0.2526933,28.59774,54.42646859,29.28682,32.2,0.731
2014,2,1630,-99999,0.259453997,-99999,255.8182495,-13.03104,286.815,402.4609,41.69577,393.5153,467.4655,535.2119,3.797974,0.1886733,28.29944,56.83132895,28.7477,31.7,0.73
2014,2,1700,-99999,0.20273759,-99999,158.0847304,-25.615615,183.0841,282.7414,28.24207,389.7427,461.1579,370.4716,3.347342,0.1911625,27.89906,58.00281174,28.08602,27.2,0.73
2014,2,1730,-99999,0.167766352,-34.30103102,104.5351302,-29.794095,78.97825,160.9809,14.35435,387.6548,455.3031,206.7946,2.623061,0.1887426,27.50615,60.24004815,27.46105,25.6,0.73
2014,2,1800,-99999,0.116317895,-28.59554976,61.22388652,-32.729655,-39.94738,23.14671,1.833271,388.7727,450.0335,45.49732,2.294538,0.1781774,26.68326,63.48251667,27.11027,24.4,0.73
2014,2,1830,2.316429964,0.049323648,-12.90484812,20.50948326,-36.562565,-64.65959,0,0.9605281,382.1742,445.4343,0,1.910057,0.1386787,26.12744,64.7863164,26.65763,23.9,0.733
2014,2,1900,4.104577656,0.08338704,-18.41160989,29.50049685,-36.67305,-65.03335,0,1.104554,381.1406,441.7027,0,1.081042,0.1677465,25.64065,67.41667266,26.18249,22.8,0.731
2014,2,1930,1.741440657,0.038540136,-11.6896661,19.22150314,-35.2251,-65.41665,0,1.538549,379.1407,440.1312,0,1.260097,0.1563908,25.3058,69.870781,25.81186,22.8,0.73
2014,2,2000,1.328027683,0.037447062,-9.321226659,14.53961949,-35.06976,-65.24812,0,1.358202,378.3819,439.3542,0,1.459173,0.1921688,25.16842,70.53794719,25.43799,22.8,0.729
2014,2,2030,1.047856811,0.032584154,-8.565671774,15.2912558,-34.21583,-63.60168,0,1.133575,377.9963,437.4517,0,1.093787,0.1844404,24.80071,72.81224257,25.18572,22.2,0.728
2014,2,2100,3.062769378,0.035776307,-15.47687081,23.3762387,-33.48009,-63.89174,0,1.058668,376.1693,435.984,0,1.371313,0.194312,24.40817,74.90178051,24.95021,22.2,0.728
2014,2,2130,-99999,0.027220922,-7.608475965,11.53103932,-33.347545,-63.76971,0,0.7601531,374.6874,434.4795,0,1.447565,0.1745717,24.02446,76.76545727,24.70393,22.2,0.727
2014,2,2200,2.462034183,0.026874907,-16.10867331,20.43125279,-33.243855,-62.88912,0,1.054331,374.3098,433.255,0,1.422377,0.1702981,23.7546,77.65897309,24.49695,21.7,0.727
2014,2,2230,3.963435166,0.002024349,-18.26278286,17.87757536,-32.741405,-62.35016,0,1.1589,374.4467,432.868,0,1.380198,0.1791909,23.80686,77.15235578,24.27588,21.7,0.726
2014,2,2300,5.418980382,0.038156091,-21.12501255,19.03818131,-32.27495,-61.49613,0,1.012143,373.8616,431.3986,0,0.9783306,0.1678928,23.60147,78.0424593,24.10788,21.7,0.726
2014,2,2330,3.066851452,0.018897084,-15.8955981,12.71955133,-31.956195,-60.64636,0,1.127379,373.6098,430.461,0,1.018242,0.129224,23.45469,78.64452356,23.95161,21.7,0.725
2014,2,2400,5.848284454,0.050288777,-28.83703862,21.11643842,-31.3868,-61.01924,0,1.29671,373.3851,430.5605,0,1.125446,0.1343858,23.55804,77.80984742,23.71772,21.7,0.725
2014,3,30,3.633125837,0.01444352,-19.41059582,14.4565327,-31.02606,-60.38218,0,0.9473541,373.0961,429.7267,0,1.102725,0.1640049,23.35953,78.77000952,23.49448,21.7,0.725
2014,3,100,4.44214317,0.006491539,-22.9644142,14.2212303,-32.35351,-60.97805,0,1.234741,372.4428,429.6706,0,1.343092,0.147227,23.41078,78.37919099,23.28757,21.7,0.741
2014,3,130,4.325990174,0.022104687,-19.51395215,12.05878752,-33.08423,-62.18795,0,1.017105,370.847,429.2943,0,1.287906,0.1346251,23.33162,78.59670074,23.16524,21.7,0.762
2014,3,200,2.114603602,0.022887754,-11.78014017,8.075588343,-31.0812,-62.8089,0,0.8500217,369.4522,428.3989,0,1.289932,0.1282582,23.16478,79.01407639,23.02638,21.7,0.767
2014,3,230,4.477029024,0.029256726,-17.53151672,8.633537073,-30.67707,-62.48846,0,0.9352216,368.1233,426.6974,0,0.8659559,0.114482,22.95073,79.8610541,22.95393,21.7,0.769
2014,3,300,5.183934596,0.01340437,-20.32414458,9.926619635,-31.02551,-61.42155,0,1.216387,368.4924,426.1702,0,1.020141,0.1211865,22.73901,80.51206765,22.88208,21.7,0.77
2014,3,330,4.002380536,0.014068073,-16.95078154,8.801161887,-30.73111,-60.25624,0,0.9944531,369.2263,425.7824,0,0.9841301,0.1153775,22.77998,79.89014473,22.80213,21.7,0.771
2014,3,400,6.688388091,0.063441466,-20.45550533,11.5983725,-30.51905,-59.65047,0,0.9639413,369.0317,425.0828,0,0.8499447,0.1085575,22.58239,80.54264009,22.7291,21.7,0.771
2014,3,430,-99999,0.089950903,-27.69405705,8.499745801,-30.386,-58.01281,0,0.9515293,369.6885,424.1096,0,0.6842337,0.1293632,22.37032,81.06344219,22.67315,21.7,0.772
2014,3,500,-99999,0.052117501,-33.2209703,9.236966214,-30.387565,-56.32683,0,1.132679,370.3089,423.2584,0,0.6391821,0.1461633,21.99186,82.33129419,22.61973,21.7,0.772
2014,3,530,-99999,0.109073894,-35.35243732,19.73497537,-29.58726,-56.60723,0,1.341164,371.075,424.2336,0,0.8251702,0.182088,22.69132,79.78736697,22.49927,21.7,0.772
2014,3,600,4.747797013,0.050729666,-27.20634142,9.138013817,-28.74091,-56.0114,0,1.010716,371.7386,424.324,0,0.7387258,0.1142943,22.7275,79.58539212,22.44652,21.7,0.771
2014,3,630,6.357826404,0.043792806,-27.52018893,14.2939948,-28.361305,-56.443,0,1.457629,371.8494,424.7912,0,1.01058,0.1785968,22.73921,79.63788104,22.38671,21.7,0.771
2014,3,700,0.223948993,0.011806644,-17.37637062,22.03266667,-27.68932,-52.18003,1.247089,1.604722,372.8355,424.6579,6.721262,0.7690518,0.09732443,22.77148,79.422067,22.34221,21.7,0.771
2014,3,730,-6.984540307,0.034739457,0.787175282,48.10019279,-24.46718,-41.10416,24.0299,11.36212,373.5967,427.3687,43.36148,1.13957,0.1305812,23.07838,79.60633746,22.2912,21.7,0.771
2014,3,800,-99999,0.030591751,-99999,85.87906179,-10.9811005,-45.44873,47.66975,32.41328,374.8724,435.5775,78.72495,1.116956,0.229279,24.54148,75.18199743,22.37564,21.7,0.771
2014,3,830,-99999,0.048714378,-99999,101.8434712,10.683893,-12.95019,101.7472,48.87548,377.8428,443.6648,105.0795,1.455909,0.202511,25.14755,73.86904101,22.7976,21.7,0.77
2014,3,900,-8.945805706,0.031619409,9.636645959,94.28177115,36.69732,232.6987,360.4729,57.38868,380.8582,451.2437,478.2610491,1.666841,0.235906,25.48369,73.09954232,23.50893,21.7,0.77
2014,3,930,-99999,-99999,-99999,-99999,64.81702,328.0351,472.6945,69.68916,383.8089,458.7792,612.2294,1.792643,0.2208705,25.94804,70.79695038,24.48955,21.7,0.77
2014,3,1000,-14.68505391,0.029695836,-99999,190.2246343,82.84109,422.6621,580.5043,77.75279,385.9875,466.0769,750.7648,2.049649,0.2399732,26.43481,69.36324565,25.57494,21.7,0.772
2014,3,1030,-12.5525525,0.025168734,-99999,180.9638021,92.581405,504.9018,673.8597,82.66838,388.6955,474.985,871.9508,1.817722,0.2518442,27.06478,67.7212687,26.4856,21.7,0.773
2014,3,1100,-13.50804728,0.031732165,35.97791552,249.4827341,122.58915,569.7086,743.6061,83.56139,391.8895,482.2256,970.7991,2.014193,0.187788888,27.52497,66.14756023,27.64425,21.7,0.774
2014,3,1130,-14.83231105,0.065768374,31.71614419,299.8891294,123.4308,627.3856,806.3159,84.85889,394.0743,488.1458,1062.569,2.326853,0.196355772,28.01794,64.45927554,28.76673,40,0.774
2014,3,1200,-12.91204698,0.046786604,11.14817048,280.9302963,104.25268,616.3094,784.0738,80.13655,404.6979,492.3257,1038.951,2.323485,0.1952583,28.53012,62.75674133,29.77976,39.4,0.774
2014,3,1230,-15.2776822,0.056185567,13.9383077,309.1582502,89.45544,401.7675,517.7018,56.68546,427.1932,486.442,691.4901,2.746402,0.163389,28.62305,61.62368138,30.57881,35,0.778
2014,3,1300,-13.06577041,0.048216646,4.42813876,274.3248493,68.382635,455.1367,575.681,61.47941,427.912,486.9767,769.9175,2.407818,0.1349854,28.89605,62.06635306,30.56059,35.6,0.778
2014,3,1330,-11.38304333,0.033997586,-3.037510781,286.1961594,57.85457,347.33,459.8332,47.15938,417.3601,482.7039,625.7181,2.6118,0.1991072,28.79431,62.09295664,30.58375,35,0.779
2014,3,1400,-13.92702202,0.059716705,-4.242812638,282.0108485,56.949795,420.8247,548.5317,53.99302,409.9748,483.6888,745.8313,2.91583,0.257275,29.06577,61.49382055,30.42368,34.4,0.78
2014,3,1430,-11.7932637,0.065815896,-5.9922785,257.8580447,43.97616,356.9322,453.7193,49.60813,435.1367,482.3157,610.6398,2.547224,0.202393938,28.99986,61.62060995,30.42167,35.6,0.781
2014,3,1500,-12.85804449,0.063396294,-9.520442149,297.0160051,36.405585,344.1685,447.1164,48.0323,426.5193,481.4349,599.7698,2.595781,0.203724399,29.13032,61.52043047,30.30646,37.2,0.78
2014,3,1530,-11.38425785,0.08420571,-15.95373217,287.1042311,35.076555,338.259,436.879,45.78498,427.7214,480.5563,587.0168,2.969526,0.1728693,29.03654,61.91691407,30.26144,32.8,0.782
2014,3,1600,-7.869405792,0.049776068,-22.57339894,218.1762097,15.430198,232.8511,324.8828,34.48655,417.0378,474.5829,437.8013,3.013356,0.1593395,28.73725,62.78795555,30.08782,31.7,0.783
2014,3,1630,-99999,0.054776258,-26.61286236,156.9151553,4.000094,136.4151,202.9126,22.3841,426.4118,470.5253,278.4515,2.776824,0.1549061,28.39941,63.91113431,29.68582,29.4,0.784
2014,3,1700,-5.345845287,0.047432631,-24.13843698,138.5259418,-9.326622,57.98991,128.1412,13.29277,407.967,464.8255,180.3197,2.750216,0.1426608,28.02701,65.28544535,29.21461,27.8,0.785
2014,3,1730,-99999,0.069666768,-28.21519796,116.7934559,-20.502095,67.49271,145.686,14.87604,397.7092,461.0265,184.7292,2.597263,0.203765006,27.858,65.98294565,28.48868,26.7,0.785
2014,3,1800,-99999,0.067954777,-14.15810423,55.46847483,-26.544925,-36.07288,28.8696,2.756248,394.3311,456.5173,51.69764,2.220794,0.193449756,27.20532,67.48259555,28.06345,25.6,0.788
2014,3,1830,3.1548232,0.047429258,-17.74079992,38.07878809,-29.982695,-57.73606,0,1.027251,395.1441,452.1705,0,1.3033,0.2002252,26.49022,71.15184242,27.63827,25,0.788
2014,3,1900,1.572316256,0.020815172,-10.50071918,15.68969474,-30.001905,-60.90031,0,1.006976,391.9856,448.7585,0,0.9940634,0.1814993,25.86655,73.66108498,27.18623,24.4,0.786
2014,3,1930,1.819326544,0.022096781,-14.07996932,21.04850426,-31.672605,-64.94971,0,1.259681,385.0861,445.688,0,1.174793,0.2062033,25.35704,75.06772492,26.78658,23.9,0.786
2014,3,2000,3.830965855,0.042615285,-21.46747781,26.74362241,-33.266605,-65.96026,0,1.135409,381.6997,443.4627,0,1.368539,0.1869696,25.11423,75.70123493,26.3984,23.3,0.786
2014,3,2030,2.913641569,0.032287521,-16.3810868,18.41743281,-34.13082,-65.97282,0,1.120429,379.7534,441.5022,0,1.424193,0.1820976,24.66541,78.03651422,26.05412,23.3,0.786
