Year,DOY,TIME,NEE,CH4,H,LE,G,Rn,Rg,Rg_out,Rgl,Rgl_out,PPFD,WS,USt,Ta,Rh,Ts,Tw,SWC
YYYY,-,HHMM,micromol m-2 s-1,micromol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,micromol m-2 s-1,m s-1,m s-1,degrees C,%,degrees C,degrees C,m3m-3
2014,1,30,3.196235568,0.049483614,-15.09699386,8.101828043,-34.064215,-62.3672,0,1.073853,373.0169,431.5183,0,1.356958,0.1324618,23.48211,80.51348581,23.81326,21.7,0.779
2014,1,100,5.579729889,0.059587237,-16.74443725,5.900404259,-33.603915,-62.7858,0,1.020882,371.6599,430.5463,0,1.395817,0.1368947,23.17766,81.79634386,23.689,21.7,0.778
2014,1,130,-99999,-99999,-99999,0.462446449,-33.58039,-62.27649,0,1.066947,371.4736,429.8799,0,1.150661,0.1419964,23.17813,81.66109221,23.56431,21.7,0.778
2014,1,200,-99999,-99999,-16.38885246,3.399637918,-33.01923,-61.67667,0,1.308124,371.8192,429.5173,0,0.7567661,0.153335391,23.24746,80.99146762,23.44613,21.1,0.778
2014,1,230,5.275021691,0.043697116,-19.64170586,3.066025651,-33.298605,-61.15326,0,1.399714,370.7282,428.0004,0,0.8097411,0.1402808,23.01184,81.87820703,23.35227,21.7,0.778
2014,1,300,4.320027505,0.042821669,-18.09281772,7.236020927,-33.170395,-61.70098,0,1.297804,370.156,427.8832,0,1.048132,0.1289429,22.99949,82.10704294,23.20947,21.7,0.777
2014,1,330,5.418499222,0.054146015,-27.31292245,9.3716272,-32.49089,-61.08891,0,1.118368,370.6713,428.0239,0,1.389993,0.1492533,22.89004,82.56659392,23.08962,21.7,0.777
2014,1,400,2.737577432,0.041847937,-17.15033071,9.097998539,-31.278075,-59.77907,0,1.326719,372.5622,428.6811,0,1.542821,0.2330624,23.07894,81.47410866,22.9767,21.7,0.777
2014,1,430,3.068994883,0.046134775,-13.34012843,1.323186639,-30.08201,-59.75119,0,0.8303829,372.5263,428.613,0,1.458955,0.1666421,23.13909,81.04686176,22.90449,21.7,0.777
2014,1,500,2.399616043,0.029885841,-10.92517453,4.395276031,-29.91655,-58.86955,0,0.8191434,371.9477,427.2254,0,1.391073,0.163088,22.57475,83.60447795,22.873,21.7,0.777
2014,1,530,5.783318208,0.04802883,-21.30845161,3.258917271,-29.74021,-58.60106,0,1.096557,372.2644,427.2628,0,1.329677,0.1311654,22.90936,81.63246198,22.77917,21.7,0.776
