startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2019-10-01T00:00:00Z","2019-10-01T00:01:00Z",95.09070,95.09070,95.09070,0.00000,1.00000,0.01720,0,100.69344,0.07739,0
"2019-10-01T00:01:00Z","2019-10-01T00:02:00Z",95.09070,95.09070,95.09070,0.00000,1.00000,0.01720,0,100.69307,0.07739,0
"2019-10-01T00:02:00Z","2019-10-01T00:03:00Z",95.09070,95.09070,95.09070,0.00000,1.00000,0.01720,0,100.69494,0.07740,0
"2019-10-01T00:03:00Z","2019-10-01T00:04:00Z",95.09070,95.09070,95.09070,0.00000,1.00000,0.01720,0,100.69555,0.07740,0
"2019-10-01T00:04:00Z","2019-10-01T00:05:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.68358,0.07739,0
"2019-10-01T00:05:00Z","2019-10-01T00:06:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67638,0.07737,0
"2019-10-01T00:06:00Z","2019-10-01T00:07:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67925,0.07738,0
"2019-10-01T00:07:00Z","2019-10-01T00:08:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66978,0.07738,0
"2019-10-01T00:08:00Z","2019-10-01T00:09:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66657,0.07737,0
"2019-10-01T00:09:00Z","2019-10-01T00:10:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66932,0.07737,0
"2019-10-01T00:10:00Z","2019-10-01T00:11:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67767,0.07738,0
"2019-10-01T00:11:00Z","2019-10-01T00:12:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67816,0.07738,0
"2019-10-01T00:12:00Z","2019-10-01T00:13:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.67353,0.07739,0
"2019-10-01T00:13:00Z","2019-10-01T00:14:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.67796,0.07741,0
"2019-10-01T00:14:00Z","2019-10-01T00:15:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.67453,0.07740,0
"2019-10-01T00:15:00Z","2019-10-01T00:16:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.67039,0.07739,0
"2019-10-01T00:16:00Z","2019-10-01T00:17:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.67200,0.07739,0
"2019-10-01T00:17:00Z","2019-10-01T00:18:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66176,0.07736,0
"2019-10-01T00:18:00Z","2019-10-01T00:19:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67383,0.07737,0
"2019-10-01T00:19:00Z","2019-10-01T00:20:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67569,0.07737,0
"2019-10-01T00:20:00Z","2019-10-01T00:21:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66358,0.07736,0
"2019-10-01T00:21:00Z","2019-10-01T00:22:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67576,0.07738,0
"2019-10-01T00:22:00Z","2019-10-01T00:23:00Z",95.08070,95.08070,95.08070,0.00000,1.00000,0.01720,0,100.67433,0.07737,0
"2019-10-01T00:23:00Z","2019-10-01T00:24:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66038,0.07735,0
"2019-10-01T00:24:00Z","2019-10-01T00:25:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66241,0.07736,0
"2019-10-01T00:25:00Z","2019-10-01T00:26:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66842,0.07738,0
"2019-10-01T00:26:00Z","2019-10-01T00:27:00Z",95.07071,95.07071,95.07071,0.00000,1.00000,0.01720,0,100.66535,0.07737,0
"2019-10-01T00:27:00Z","2019-10-01T00:28:00Z",95.06070,95.06070,95.06070,0.00000,1.00000,0.01720,0,100.65695,0.07737,0
"2019-10-01T00:28:00Z","2019-10-01T00:29:00Z",95.06070,95.06070,95.06070,0.00000,1.00000,0.01720,0,100.65794,0.07737,0
