Year,DOY,TIME,Fc,NEE,H,LE,WS,USt,Rg_1,Rg,Rg_out,Rgl,Rgl_out,PPFD,Ta,Rh,Ts,Tw
YYYY,-,HHMM,micromol m-2 s-1,micromol m-2 s-1,W m-2,W m-2,m/s,m s-1,W m-2,W m-2,W m-2,W m-2,W m-2,micromol m-2 s-1,degrees C,%,degrees C,degrees C
2009,1,30,-99999,-99999,-4.751478,-99999,2.238922,0.160943,0,-99999,-99999,-99999,-99999,0,23.20299,88.80265011,23.83239,22.90123
2009,1,100,-99999,-99999,-8.054985,-6.010859,2.513584,0.1593554,0,-99999,-99999,-99999,-99999,0,23.27191,88.46662433,23.76712,22.91175
2009,1,130,-99999,-99999,-6.903853,15.36558,2.681302,0.1466941,0,-99999,-99999,-99999,-99999,0,23.45054,85.94489144,23.73882,22.87933
2009,1,200,-99999,-99999,-3.37093,-9.203815,1.823872,0.1060875,0,-99999,-99999,-99999,-99999,0,23.25692,87.22649938,23.70647,22.89748
2009,1,230,-99999,-99999,-1.021516,-99999,1.665834,0.1319922,0,-99999,-99999,-99999,-99999,0,23.24617,87.88423707,23.68687,22.88506
2009,1,300,-99999,-99999,1.398934,-99999,1.28506,0.1213872,0,-99999,-99999,-99999,-99999,0,22.94833,90.38848598,23.66772,22.81398
2009,1,330,-99999,-99999,-99999,-99999,1.692343,0.2094129,0,-99999,-99999,-99999,-99999,0,22.73475,90.89970725,23.62567,22.7307
2009,1,400,-99999,-99999,-99999,-99999,2.411608,-99999,0,-99999,-99999,-99999,-99999,0,22.66707,92.56338953,23.57323,22.76161
2009,1,430,-99999,-99999,-99999,-99999,2.288805,0.280816,0,-99999,-99999,-99999,-99999,0,22.92274,92.22919155,23.54901,22.82471
2009,1,500,-99999,-99999,-99999,-99999,2.609586,0.2239633,0,-99999,-99999,-99999,-99999,0,23.16714,90.04567154,23.5646,22.77912
2009,1,530,-99999,-99999,-99999,27.47066,2.878074,-99999,0,-99999,-99999,-99999,-99999,0,23.21845,88.73389011,23.5438,22.68907
2009,1,600,-99999,-99999,-99999,18.64598,3.18347,0.2145206,0,-99999,-99999,-99999,-99999,0,23.51965,85.56484241,23.47853,22.5966
2009,1,630,-0.8991625,-0.8991625,-10.80763,24.50866,3.438951,0.2414673,0,-99999,-99999,-99999,-99999,0,23.89118,80.90493708,23.44509,22.59881
2009,1,700,0.376779318,0.376779318,-16.55733,29.56828,3.302732,0.2477003,0,-99999,-99999,-99999,-99999,0,23.82682,80.47174359,23.48812,22.52396
2009,1,730,0.147478136,0.147478136,-6.911386,9.800398,2.7157,0.143727,8.59,-99999,-99999,-99999,-99999,23.0694962,23.69884,81.99540896,23.4573,22.71514
2009,1,800,-99999,-99999,-5.09364,-99999,1.927768,0.0694676,40.94,-99999,-99999,-99999,-99999,91.76182587,23.68856,83.5524238,23.49822,23.04431
2009,1,830,-0.536185,-0.536185,1.252958,17.88214,1.936642,0.1375034,72.33,-99999,-99999,-99999,-99999,158.4156815,23.95487,82.76484105,23.54331,23.46591
2009,1,900,0.907156136,0.907156136,-7.834553,28.59802,2.939073,0.1953542,78.06,-99999,-99999,-99999,-99999,170.5828236,24.443,80.12233905,23.5849,23.71108
2009,1,930,-0.689716818,-0.689716818,-6.279995,47.16768,3.313845,0.1799085,123.5,-99999,-99999,-99999,-99999,267.0705968,25.02646,75.81377337,23.67728,24.03741
2009,1,1000,0.650355,0.650355,-4.206944,67.44547,3.888927,0.2992781,209.2,-99999,-99999,-99999,-99999,449.0468766,25.37362,74.85285133,23.88523,24.71924
2009,1,1030,-1.700403636,-1.700403636,5.171549,81.19196,3.357152,0.2609278,203.6,-99999,-99999,-99999,-99999,437.1557778,25.69224,74.43957211,24.12677,25.42589
2009,1,1100,-2.658515909,-2.658515909,16.10664,93.61562,3.42378,0.3425958,274.4,-99999,-99999,-99999,-99999,587.4932412,25.62571,76.01893195,24.50213,25.96852
2009,1,1130,0.768139091,0.768139091,7.887578,63.13005,3.295219,0.2632146,159.32,-99999,-99999,-99999,-99999,343.1311609,25.55202,77.09339764,24.91015,25.84663
2009,1,1200,-99999,-99999,15.35227,-99999,3.441207,0.2931434,269.2,-99999,-99999,-99999,-99999,576.4515066,25.47877,78.07919098,25.18571,26.01713
2009,1,1230,-2.606272727,-2.606272727,16.80851,127.5069,4.417574,0.3698256,239.4,-99999,-99999,-99999,-99999,513.1738737,26.04163,74.77789649,25.23917,26.38825
2009,1,1300,-99999,-99999,20.75737,135.3544,4.782066,0.4551009,159.02,-99999,-99999,-99999,-99999,342.4941377,24.86271,80.46185916,25.55439,24.91804
2009,1,1330,-99999,-99999,-99999,-99999,3.117322,-99999,222.7,-99999,-99999,-99999,-99999,477.7129184,24.21469,87.10990534,25.51276,25.18516
2009,1,1400,-99999,-99999,-99999,-99999,3.661194,-99999,308.1,-99999,-99999,-99999,-99999,659.0521751,24.85144,83.19675831,25.42418,25.81865
