startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2017-10-12T00:00:00Z","2017-10-12T00:01:00Z",96.37910,96.37910,96.37910,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:01:00Z","2017-10-12T00:02:00Z",96.37910,96.37910,96.37910,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:02:00Z","2017-10-12T00:03:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:03:00Z","2017-10-12T00:04:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:04:00Z","2017-10-12T00:05:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:05:00Z","2017-10-12T00:06:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:06:00Z","2017-10-12T00:07:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:07:00Z","2017-10-12T00:08:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:08:00Z","2017-10-12T00:09:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:09:00Z","2017-10-12T00:10:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:10:00Z","2017-10-12T00:11:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:11:00Z","2017-10-12T00:12:00Z",96.36911,96.36911,96.36911,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:12:00Z","2017-10-12T00:13:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:13:00Z","2017-10-12T00:14:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:14:00Z","2017-10-12T00:15:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:15:00Z","2017-10-12T00:16:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:16:00Z","2017-10-12T00:17:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:17:00Z","2017-10-12T00:18:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:18:00Z","2017-10-12T00:19:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:19:00Z","2017-10-12T00:20:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:20:00Z","2017-10-12T00:21:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:21:00Z","2017-10-12T00:22:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:22:00Z","2017-10-12T00:23:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:23:00Z","2017-10-12T00:24:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:24:00Z","2017-10-12T00:25:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:25:00Z","2017-10-12T00:26:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:26:00Z","2017-10-12T00:27:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:27:00Z","2017-10-12T00:28:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:28:00Z","2017-10-12T00:29:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:29:00Z","2017-10-12T00:30:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:30:00Z","2017-10-12T00:31:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:31:00Z","2017-10-12T00:32:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:32:00Z","2017-10-12T00:33:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:33:00Z","2017-10-12T00:34:00Z",96.35913,96.35913,96.35913,0.00000,1.00000,0.01720,1,,,
"2017-10-12T00:34:00Z","2017-10-12T00:35:00Z",96.34915,96.34915,96.34915,0.00000,1.00000,0.01720,1,,,
