,$g_{max}$ (m s$^{-1}$),$G_2$,$G_3$,$G_4$,$G_5$,$G_6$
DecTr,32.43,104.655,0.467,0.709,36.281,0.029
EveTr,22.13,104.413,0.482,0.696,36.253,0.024
Grass,18.7,104.215,0.424,0.814,36.945,0.025
