startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2018-08-01T01:30:00Z","2018-08-01T01:32:00Z",1.05,0.77,1.29,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:32:00Z","2018-08-01T01:34:00Z",1.10,0.79,1.42,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:34:00Z","2018-08-01T01:36:00Z",1.11,0.87,1.37,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:36:00Z","2018-08-01T01:38:00Z",1.06,0.83,1.29,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:38:00Z","2018-08-01T01:40:00Z",1.17,0.92,1.50,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:40:00Z","2018-08-01T01:42:00Z",1.46,1.25,1.83,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:42:00Z","2018-08-01T01:44:00Z",1.56,1.29,1.87,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:44:00Z","2018-08-01T01:46:00Z",1.33,1.12,1.67,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:46:00Z","2018-08-01T01:48:00Z",1.24,1.08,1.54,0.01,29.00,0.15,0.02,,,,,,,
"2018-08-01T01:48:00Z","2018-08-01T01:50:00Z",1.29,1.08,1.54,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:50:00Z","2018-08-01T01:52:00Z",1.45,1.17,1.83,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T01:52:00Z","2018-08-01T01:54:00Z",1.50,1.29,1.79,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:54:00Z","2018-08-01T01:56:00Z",1.78,1.50,2.04,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:56:00Z","2018-08-01T01:58:00Z",1.67,1.33,1.87,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:58:00Z","2018-08-01T02:00:00Z",1.50,1.21,1.81,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T02:00:00Z","2018-08-01T02:02:00Z",1.48,1.29,1.71,0.01,30.00,0.14,0.02,,,,,,,
"2018-08-01T02:02:00Z","2018-08-01T02:04:00Z",1.45,1.21,1.75,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:04:00Z","2018-08-01T02:06:00Z",1.46,1.29,1.62,0.01,30.00,0.14,0.02,,,,,,,
"2018-08-01T02:06:00Z","2018-08-01T02:08:00Z",1.26,1.04,1.48,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:08:00Z","2018-08-01T02:10:00Z",1.28,1.08,1.44,0.01,30.00,0.14,0.02,,,,,,,
"2018-08-01T02:10:00Z","2018-08-01T02:12:00Z",1.35,1.21,1.62,0.01,30.00,0.14,0.02,,,,,,,
"2018-08-01T02:12:00Z","2018-08-01T02:14:00Z",1.35,1.04,1.71,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T02:14:00Z","2018-08-01T02:16:00Z",1.24,0.96,1.42,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:16:00Z","2018-08-01T02:18:00Z",1.23,0.71,1.90,0.12,30.00,0.19,0.06,,,,,,,
"2018-08-01T02:18:00Z","2018-08-01T02:20:00Z",1.66,1.42,1.87,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:20:00Z","2018-08-01T02:22:00Z",1.42,1.10,1.83,0.05,30.00,0.16,0.04,,,,,,,
"2018-08-01T02:22:00Z","2018-08-01T02:24:00Z",1.32,0.96,1.58,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T02:24:00Z","2018-08-01T02:26:00Z",1.27,0.85,1.58,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T02:26:00Z","2018-08-01T02:28:00Z",1.11,0.62,1.50,0.07,30.00,0.17,0.05,,,,,,,
"2018-08-01T02:28:00Z","2018-08-01T02:30:00Z",1.02,0.58,1.92,0.11,30.00,0.19,0.06,,,,,,,
"2018-08-01T02:30:00Z","2018-08-01T02:32:00Z",0.98,0.67,1.33,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T02:32:00Z","2018-08-01T02:34:00Z",1.32,1.08,1.58,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T02:34:00Z","2018-08-01T02:36:00Z",1.41,0.58,2.21,0.19,30.00,0.21,0.08,,,,,,,
"2018-08-01T02:36:00Z","2018-08-01T02:38:00Z",1.29,0.50,2.21,0.16,30.00,0.20,0.07,,,,,,,
"2018-08-01T02:38:00Z","2018-08-01T02:40:00Z",1.12,0.25,1.75,0.15,30.00,0.20,0.07,,,,,,,
"2018-08-01T02:40:00Z","2018-08-01T02:42:00Z",1.13,0.75,1.54,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T02:42:00Z","2018-08-01T02:44:00Z",0.97,0.00,1.46,0.14,30.00,0.19,0.07,,,,,,,
"2018-08-01T02:44:00Z","2018-08-01T02:46:00Z",1.20,0.62,1.67,0.08,30.00,0.17,0.05,,,,,,,
"2018-08-01T02:46:00Z","2018-08-01T02:48:00Z",1.54,1.21,1.79,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:48:00Z","2018-08-01T02:50:00Z",1.45,1.21,1.68,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:50:00Z","2018-08-01T02:52:00Z",1.48,1.27,1.67,0.01,30.00,0.14,0.02,,,,,,,
"2018-08-01T02:52:00Z","2018-08-01T02:54:00Z",1.64,1.37,1.92,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T02:54:00Z","2018-08-01T02:56:00Z",1.33,1.04,1.50,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T04:00:00Z","2018-08-01T04:02:00Z",1.19,0.89,1.37,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T04:02:00Z","2018-08-01T04:04:00Z",1.03,0.00,1.71,0.18,30.00,0.21,0.08,,,,,,,
"2018-08-01T04:04:00Z","2018-08-01T04:06:00Z",1.20,0.50,1.67,0.08,30.00,0.17,0.05,,,,,,,
"2018-08-01T04:06:00Z","2018-08-01T04:08:00Z",1.08,0.71,1.50,0.07,30.00,0.17,0.05,,,,,,,
"2018-08-01T04:08:00Z","2018-08-01T04:10:00Z",0.80,0.00,1.25,0.16,30.00,0.20,0.07,,,,,,,
"2018-08-01T04:10:00Z","2018-08-01T04:12:00Z",1.03,0.46,1.62,0.10,30.00,0.18,0.06,,,,,,,
"2018-08-01T04:12:00Z","2018-08-01T04:14:00Z",1.26,0.83,1.65,0.04,30.00,0.16,0.03,,,,,,,
"2018-08-01T04:14:00Z","2018-08-01T04:16:00Z",1.39,0.83,2.17,0.12,30.00,0.19,0.06,,,,,,,
"2018-08-01T04:16:00Z","2018-08-01T04:18:00Z",1.81,1.56,2.00,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T04:18:00Z","2018-08-01T04:20:00Z",1.94,1.67,2.25,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T04:20:00Z","2018-08-01T04:22:00Z",1.68,1.42,2.12,0.03,30.00,0.16,0.03,,,,,,,
"2018-08-01T04:22:00Z","2018-08-01T04:24:00Z",1.31,1.00,1.70,0.03,30.00,0.15,0.03,,,,,,,
