Year,DOY,TIME,Fc,NEE,H,LE,WS,USt,Rg_1,Rg,Rg_out,Rgl,Rgl_out,PPFD,Ta,Rh,Ts,Tw
YYYY,-,HHMM,micromol m-2 s-1,micromol m-2 s-1,W m-2,W m-2,m/s,m s-1,W m-2,W m-2,W m-2,W m-2,W m-2,micromol m-2 s-1,degrees C,%,degrees C,degrees C
2010,1,30,-99999,-99999,-99999,-99999,1.93864,-99999,0,-99999,-99999,-99999,-99999,0,24.46708,69.2431,26.73022432,24.91292
2010,1,100,-99999,-99999,-99999,-99999,1.51924,-99999,0,-99999,-99999,-99999,-99999,0,24.04918,72.1792,26.73022432,24.91292
2010,1,130,-99999,-99999,-99999,-99999,1.51924,-99999,0,-99999,-99999,-99999,-99999,0,23.9656,73.1579,26.64295168,24.61808
2010,1,200,-99999,-99999,-99999,-99999,1.93864,-99999,0,-99999,-99999,-99999,-99999,0,24.04918,72.1792,26.64295168,24.61808
2010,1,230,-99999,-99999,-99999,-99999,1.93864,-99999,0,-99999,-99999,-99999,-99999,0,23.63128,73.1579,26.57022448,24.37238
2010,1,300,-99999,-99999,-99999,-99999,1.18372,-99999,0,-99999,-99999,-99999,-99999,0,23.71486,72.1792,26.57022448,24.37238
2010,1,330,-99999,-99999,-99999,-99999,1.51924,-99999,0,-99999,-99999,-99999,-99999,0,23.46412,73.1579,26.57022448,24.37238
2010,1,400,-99999,-99999,-99999,-99999,1.93864,-99999,0,-99999,-99999,-99999,-99999,0,23.63128,72.1792,26.57022448,24.37238
2010,1,430,-99999,-99999,-99999,-99999,1.51924,-99999,0,-99999,-99999,-99999,-99999,0,23.5477,72.1792,26.57022448,24.37238
2010,1,500,-99999,-99999,-99999,-99999,1.51924,-99999,0,-99999,-99999,-99999,-99999,0,23.29696,74.1366,26.48295184,24.07754
2010,1,530,-99999,-99999,-99999,-99999,1.18372,-99999,0,-99999,-99999,-99999,-99999,0,23.71486,72.1792,26.57022448,24.37238
2010,1,600,-99999,-99999,-99999,-99999,1.18372,-99999,0,-99999,-99999,-99999,-99999,0,23.63128,72.1792,26.57022448,24.37238
2010,1,630,-99999,-99999,-99999,-99999,1.18372,-99999,0,-99999,-99999,-99999,-99999,0,23.29696,73.1579,26.48295184,24.07754
2010,1,700,-99999,-99999,-99999,-99999,1.51924,-99999,10.9498,-99999,-99999,-99999,-99999,21.51311004,23.38054,74.1366,26.57022448,24.37238
2010,1,730,-99999,-99999,-99999,-99999,1.51924,-99999,42.2234,-99999,-99999,-99999,-99999,84.05405532,23.79844,72.1792,27.13749664,26.28884
2010,1,800,-99999,-99999,-99999,-99999,1.51924,-99999,70.5651,-99999,-99999,-99999,-99999,140.731787,24.13276,72.1792,26.96295136,25.69916
2010,1,830,-99999,-99999,-99999,-99999,1.51924,-99999,90.1111,-99999,-99999,-99999,-99999,179.8198778,24.29992,72.1792,27.050224,25.994
2010,1,900,-99999,-99999,-99999,-99999,1.93864,-99999,200.546,-99999,-99999,-99999,-99999,400.6675908,24.88498,70.2218,27.29749648,26.82938
2010,1,930,-99999,-99999,-99999,-99999,2.27416,-99999,325.6404,-99999,-99999,-99999,-99999,650.8313719,26.30584,65.3283,27.53022352,27.61562
2010,1,1000,-99999,-99999,-99999,-99999,3.784,-99999,375.4827,-99999,-99999,-99999,-99999,750.5060035,26.72374,61.4135,27.69022336,28.15616
2010,1,1030,-99999,-99999,-99999,-99999,3.784,-99999,414.5747,-99999,-99999,-99999,-99999,828.6821851,27.05806,60.4348,27.777496,28.451
2010,1,1100,-99999,-99999,-99999,-99999,3.784,-99999,471.2581,-99999,-99999,-99999,-99999,942.0376484,27.47596,55.5413,27.93749584,28.99154
2010,1,1130,-99999,-99999,-99999,-99999,5.29384,-99999,714.6058,-99999,-99999,-99999,-99999,1428.684379,27.97744,53.5839,28.34476816,30.36746
2010,1,1200,-99999,-99999,-99999,-99999,4.95832,-99999,778.1303,-99999,-99999,-99999,-99999,1555.720674,28.31176,54.5626,28.41749536,30.61316
2010,1,1230,-99999,-99999,-99999,-99999,5.29384,-99999,755.6524,-99999,-99999,-99999,-99999,1510.76937,28.47892,52.6052,28.34476816,30.36746
