startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T04:20:00Z","2017-10-15T04:25:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:25:00Z","2017-10-15T04:30:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:30:00Z","2017-10-15T04:35:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:35:00Z","2017-10-15T04:40:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:40:00Z","2017-10-15T04:45:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:45:00Z","2017-10-15T04:50:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:50:00Z","2017-10-15T04:55:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T04:55:00Z","2017-10-15T05:00:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:00:00Z","2017-10-15T05:05:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:05:00Z","2017-10-15T05:10:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:10:00Z","2017-10-15T05:15:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:15:00Z","2017-10-15T05:20:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:20:00Z","2017-10-15T05:25:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T05:25:00Z","2017-10-15T05:30:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:30:00Z","2017-10-15T05:35:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:35:00Z","2017-10-15T05:40:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:40:00Z","2017-10-15T05:45:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:45:00Z","2017-10-15T05:50:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:50:00Z","2017-10-15T05:55:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T05:55:00Z","2017-10-15T06:00:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T06:00:00Z","2017-10-15T06:05:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:05:00Z","2017-10-15T06:10:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:10:00Z","2017-10-15T06:15:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:15:00Z","2017-10-15T06:20:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:20:00Z","2017-10-15T06:25:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T06:25:00Z","2017-10-15T06:30:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:30:00Z","2017-10-15T06:35:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:35:00Z","2017-10-15T06:40:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:40:00Z","2017-10-15T06:45:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:45:00Z","2017-10-15T06:50:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:50:00Z","2017-10-15T06:55:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T06:55:00Z","2017-10-15T07:00:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T07:00:00Z","2017-10-15T07:05:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:05:00Z","2017-10-15T07:10:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:10:00Z","2017-10-15T07:15:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:15:00Z","2017-10-15T07:20:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:20:00Z","2017-10-15T07:25:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T07:25:00Z","2017-10-15T07:30:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:30:00Z","2017-10-15T07:35:00Z",497.12,497.12,497.12,0.00,5,2.48,0.00,0
"2017-10-15T07:35:00Z","2017-10-15T07:40:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:40:00Z","2017-10-15T07:45:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
