HOR.VER,start,end,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
130.100,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,0.15,0.00,-2.30,0.00,0.00,0.00,45.995229,-89.706476,495.52
140.100,2010-01-01 00:00:00.0,2018-08-01 23:59:59.999,2010-01-01 00:00:00.0,,0.15,0.00,-1.84,0.00,0.00,0.00,46.000596,-89.704067,496.34
140.100,2018-08-02 00:00:00.0,,2010-01-01 00:00:00.0,,0.16,0.00,-2.12,0.00,0.00,0.00,46.000596,-89.704067,496.34
