startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2019-09-01T00:00:00Z","2019-09-01T00:30:00Z",70.94,65.36,74.24,4.06,30,0.76,0.37,1,15.665,15.123,16.194,0.096,30,2.203,0.057,0,10.360,9.428,10.946,0.100,30,0.891,0.058,1
"2019-09-01T00:30:00Z","2019-09-01T01:00:00Z",78.35,72.76,82.22,7.80,30,1.04,0.51,1,14.212,13.407,15.044,0.289,30,2.209,0.098,0,10.442,10.081,10.819,0.030,30,0.897,0.032,0
"2019-09-01T01:00:00Z","2019-09-01T01:30:00Z",85.46,81.81,88.85,5.05,30,0.84,0.41,1,12.685,12.138,13.342,0.133,30,2.204,0.067,0,10.257,10.020,10.567,0.017,30,0.905,0.024,0
"2019-09-01T01:30:00Z","2019-09-01T02:00:00Z",90.46,87.98,92.14,0.92,30,0.40,0.17,1,11.814,11.620,12.090,0.025,30,2.201,0.029,0,10.255,10.072,10.483,0.010,30,0.908,0.018,0
"2019-09-01T02:00:00Z","2019-09-01T02:30:00Z",91.30,90.09,92.69,0.30,30,0.28,0.10,1,11.657,11.563,11.789,0.004,30,2.200,0.011,0,10.240,9.987,10.596,0.018,30,0.909,0.025,0
"2019-09-01T02:30:00Z","2019-09-01T03:00:00Z",91.63,90.68,93.00,0.27,30,0.27,0.09,1,11.380,11.088,11.658,0.039,30,2.201,0.036,0,10.020,9.712,10.313,0.030,30,0.913,0.031,0
"2019-09-01T03:00:00Z","2019-09-01T03:30:00Z",92.85,92.04,93.89,0.17,30,0.24,0.08,1,10.975,10.890,11.101,0.003,30,2.200,0.009,0,9.815,9.664,10.021,0.007,30,0.912,0.016,0
"2019-09-01T03:30:00Z","2019-09-01T04:00:00Z",93.46,92.19,94.45,0.32,30,0.28,0.10,1,10.761,10.551,10.938,0.013,30,2.200,0.021,0,9.701,9.476,10.015,0.021,30,0.915,0.027,0
"2019-09-01T04:00:00Z","2019-09-01T04:30:00Z",94.39,93.47,95.31,0.27,30,0.27,0.10,1,10.431,10.246,10.634,0.009,30,2.200,0.017,0,9.520,9.311,9.714,0.012,30,0.916,0.020,0
"2019-09-01T04:30:00Z","2019-09-01T05:00:00Z",94.52,93.96,95.09,0.09,30,0.22,0.06,1,10.274,10.132,10.379,0.004,30,2.200,0.011,0,9.385,9.223,9.578,0.008,30,0.917,0.016,0
"2019-09-01T05:00:00Z","2019-09-01T05:30:00Z",94.58,93.61,95.46,0.30,30,0.28,0.10,1,10.100,9.864,10.359,0.015,30,2.200,0.023,0,9.221,8.909,9.596,0.027,30,0.919,0.030,0
"2019-09-01T05:30:00Z","2019-09-01T06:00:00Z",94.77,94.28,95.34,0.10,30,0.22,0.06,0,10.003,9.732,10.186,0.014,30,2.200,0.021,0,9.156,8.840,9.419,0.024,30,0.920,0.028,0
"2019-09-01T06:00:00Z","2019-09-01T06:30:00Z",95.64,94.84,96.37,0.13,30,0.23,0.07,1,9.989,9.779,10.130,0.009,30,2.200,0.017,0,9.277,8.945,9.530,0.021,30,0.919,0.026,0
"2019-09-01T06:30:00Z","2019-09-01T07:00:00Z",95.79,94.89,96.28,0.18,30,0.25,0.08,0,10.153,10.008,10.406,0.013,30,2.200,0.020,0,9.463,9.351,9.772,0.009,30,0.917,0.018,0
"2019-09-01T07:00:00Z","2019-09-01T07:30:00Z",95.25,94.53,95.81,0.14,30,0.23,0.07,0,10.308,10.199,10.399,0.004,30,2.200,0.011,0,9.533,9.319,9.682,0.010,30,0.917,0.018,0
"2019-09-01T07:30:00Z","2019-09-01T08:00:00Z",95.67,95.01,96.08,0.05,30,0.21,0.04,0,10.231,10.105,10.442,0.006,30,2.200,0.015,0,9.522,9.346,9.788,0.010,30,0.917,0.018,0
"2019-09-01T08:00:00Z","2019-09-01T08:30:00Z",93.19,91.54,95.15,1.02,30,0.41,0.18,1,10.752,10.255,11.121,0.052,30,2.202,0.042,0,9.648,9.340,10.106,0.034,30,0.915,0.033,0
"2019-09-01T08:30:00Z","2019-09-01T09:00:00Z",92.30,90.79,93.14,0.33,30,0.28,0.11,1,10.770,10.641,10.942,0.006,30,2.200,0.014,0,9.524,9.333,9.807,0.012,30,0.913,0.020,0
"2019-09-01T09:00:00Z","2019-09-01T09:30:00Z",92.42,90.82,93.42,0.40,30,0.30,0.12,1,10.644,10.495,10.773,0.008,30,2.200,0.016,0,9.417,9.242,9.622,0.012,30,0.915,0.020,0
"2019-09-01T09:30:00Z","2019-09-01T10:00:00Z",92.86,91.86,94.08,0.30,30,0.28,0.10,1,10.483,10.314,10.623,0.007,30,2.200,0.015,0,9.329,9.118,9.474,0.009,30,0.916,0.018,0
"2019-09-01T10:00:00Z","2019-09-01T10:30:00Z",92.99,91.48,93.67,0.26,30,0.27,0.09,1,10.338,10.274,10.449,0.003,30,2.200,0.009,0,9.206,8.983,9.409,0.010,30,0.915,0.019,0
"2019-09-01T10:30:00Z","2019-09-01T11:00:00Z",92.67,91.30,93.69,0.36,30,0.29,0.11,1,10.277,10.097,10.508,0.013,30,2.200,0.021,0,9.094,8.900,9.299,0.010,30,0.917,0.018,0
"2019-09-01T11:00:00Z","2019-09-01T11:30:00Z",94.14,92.90,95.09,0.53,30,0.33,0.13,1,10.026,9.914,10.141,0.003,30,2.200,0.009,0,9.078,8.852,9.325,0.015,30,0.918,0.022,0
"2019-09-01T11:30:00Z","2019-09-01T12:00:00Z",94.34,93.31,95.13,0.19,30,0.25,0.08,1,10.123,9.963,10.303,0.009,30,2.200,0.017,0,9.207,8.943,9.487,0.016,30,0.917,0.023,0
"2019-09-01T12:00:00Z","2019-09-01T12:30:00Z",91.10,88.30,94.47,2.28,30,0.58,0.28,1,10.815,10.404,11.161,0.047,30,2.201,0.039,0,9.372,8.995,9.744,0.036,30,0.912,0.034,0
"2019-09-01T12:30:00Z","2019-09-01T13:00:00Z",87.15,85.67,88.82,0.89,30,0.39,0.17,1,11.359,11.089,11.490,0.011,30,2.200,0.019,0,9.249,9.005,9.585,0.027,30,0.909,0.030,0
"2019-09-01T13:00:00Z","2019-09-01T13:30:00Z",86.67,84.14,88.55,1.37,30,0.47,0.21,1,11.775,11.430,12.168,0.051,30,2.202,0.041,0,9.577,9.326,10.028,0.035,30,0.906,0.034,0
